Gene_ID,C1,C2,H2,H3,external_gene_name
ENSG00000133056,9.300628629,9.534771498,10.02936924,9.591407013,PIK3C2B
ENSG00000133059,9.625962222,9.500333205,9.470007362,9.246354069,DSTYK
ENSG00000133063,6.155832529,6.259115224,5.246219225,6.148911087,CHIT1
ENSG00000133065,8.850764159,8.968891182,9.8360055,9.24320617,SLC41A1
ENSG00000133067,7.777328021,8.836960407,9.315956073,9.436098337,LGR6
ENSG00000133069,7.809880193,7.759602755,7.083459992,7.798639489,TMCC2
ENSG00000133101,5.243707925,4.905023648,5.456605252,5.564841767,CCNA1
ENSG00000133103,7.801811991,8.161178626,6.962660337,7.633797414,COG6
ENSG00000133104,9.363164147,9.290595689,7.729993993,8.416496423,SPART
ENSG00000133105,4.398995776,4.398995776,4.398995776,4.398995776,RXFP2
ENSG00000133106,10.62784181,9.378568938,10.85874836,10.92863033,EPSTI1
ENSG00000133111,7.4446833,7.557869465,6.886259716,7.151690106,RFXAP
ENSG00000133112,15.63977599,15.47266753,16.03910961,16.1495033,TPT1
ENSG00000133114,8.942899018,9.025738447,8.384192306,8.492877825,GPALPP1
ENSG00000133116,6.099529113,5.508754055,5.093993946,4.966374418,KL
ENSG00000133119,7.0564981,7.248161524,6.754255237,6.632076232,RFC3
ENSG00000133121,5.479712502,5.312288653,5.211092324,4.966374418,STARD13
ENSG00000133131,9.520193254,9.692552528,8.478401324,8.723075621,MORC4
ENSG00000133134,7.38614386,6.67999554,8.205810747,7.690907455,BEX2
ENSG00000133138,9.398095095,9.401148118,8.074292864,8.636820576,TBC1D8B
ENSG00000133142,8.032788066,7.571359429,7.482558049,7.137904908,TCEAL4
ENSG00000133169,5.27719126,4.692146444,5.311996118,5.23427294,BEX1
ENSG00000133193,9.788652908,9.64606104,10.24134073,9.922641675,FAM104A
ENSG00000133195,8.898509372,8.706884411,8.825391131,8.921407511,SLC39A11
ENSG00000133216,8.216434302,7.018674184,6.607759668,7.811547401,EPHB2
ENSG00000133226,11.40334561,11.35375001,11.12453349,11.0847785,SRRM1
ENSG00000133243,10.45374539,10.52175274,11.00083276,10.91040947,BTBD2
ENSG00000133246,11.45843529,11.47964627,10.53630655,10.71486426,PRAM1
ENSG00000133247,8.066765505,8.320290892,8.8194129,8.709435731,KMT5C
ENSG00000133250,8.301521271,7.811512911,8.811403022,8.856917648,ZNF414
ENSG00000133256,7.117187069,7.338217777,8.100925016,7.794310592,PDE6B
ENSG00000133265,8.157807027,8.367067715,9.281616879,9.23688964,HSPBP1
ENSG00000133275,11.68565384,11.83553218,12.64217683,12.6159351,CSNK1G2
ENSG00000133302,7.261143031,7.330267349,6.924997156,7.212076228,SLF1
ENSG00000133313,11.55645361,11.27349354,12.00803994,12.01773627,CNDP2
ENSG00000133315,5.842560606,5.756661627,6.683029953,6.494138148,MACROD1
ENSG00000133316,9.003526563,9.066357136,10.48697144,10.00294602,WDR74
ENSG00000133317,7.55490294,8.183155134,6.940187797,7.633797414,LGALS12
ENSG00000133318,11.77440038,11.62288194,11.27087981,11.36380655,RTN3
ENSG00000133321,9.625962222,9.891640669,11.57962514,11.27998768,PLAAT4
ENSG00000133328,5.645139339,5.543377768,7.26782662,6.339686176,PLAAT2
ENSG00000133392,5.17189489,5.050089326,5.456605252,5.270346002,MYH11
ENSG00000133393,8.666618605,7.759602755,7.532694021,4.398995776,CEP20
